store_id,product_id,current_stock,last_updated
STR001,PRD001,50,2026-08-29
STR001,PRD002,25,2026-08-29
STR001,PRD003,86,2026-08-29
STR001,PRD004,97,2026-08-29
STR001,PRD005,109,2026-08-29
STR001,PRD006,92,2026-08-29
STR001,PRD007,194,2026-08-29
STR001,PRD008,204,2026-08-29
STR001,PRD009,199,2026-08-29
STR001,PRD010,111,2026-08-29
STR001,PRD011,144,2026-08-29
STR001,PRD012,89,2026-08-29
STR001,PRD013,85,2026-08-29
STR001,PRD014,147,2026-08-29
STR001,PRD015,140,2026-08-29
STR001,PRD016,219,2026-08-29
STR001,PRD017,97,2026-08-29
STR001,PRD018,149,2026-08-29
STR001,PRD019,80,2026-08-29
STR001,PRD020,160,2026-08-29
STR001,PRD021,143,2026-08-29
STR001,PRD022,96,2026-08-29
STR001,PRD023,161,2026-08-29
STR001,PRD024,124,2026-08-29
STR001,PRD025,90,2026-08-29
STR001,PRD026,145,2026-08-29
STR001,PRD027,208,2026-08-29
STR001,PRD028,89,2026-08-29
STR001,PRD029,156,2026-08-29
STR001,PRD030,207,2026-08-29
STR001,PRD031,181,2026-08-29
STR001,PRD032,215,2026-08-29
STR001,PRD033,206,2026-08-29
STR001,PRD034,137,2026-08-29
STR001,PRD035,96,2026-08-29
STR001,PRD036,130,2026-08-29
STR001,PRD037,198,2026-08-29
STR001,PRD038,130,2026-08-29
STR001,PRD039,110,2026-08-29
STR001,PRD040,186,2026-08-29
STR001,PRD041,177,2026-08-29
STR001,PRD042,154,2026-08-29
STR001,PRD043,106,2026-08-29
STR001,PRD044,185,2026-08-29
STR001,PRD045,177,2026-08-29
STR001,PRD046,105,2026-08-29
STR001,PRD047,118,2026-08-29
STR001,PRD048,135,2026-08-29
STR001,PRD049,204,2026-08-29
STR001,PRD050,153,2026-08-29
STR001,PRD051,60,2026-08-29
STR001,PRD052,204,2026-08-29
STR001,PRD053,45,2026-08-29
STR001,PRD054,85,2026-08-29
STR001,PRD055,143,2026-08-29
STR002,PRD001,139,2026-08-29
STR002,PRD002,124,2026-08-29
STR002,PRD003,162,2026-08-29
STR002,PRD004,191,2026-08-29
STR002,PRD005,30,2026-08-29
STR002,PRD006,133,2026-08-29
STR002,PRD007,211,2026-08-29
STR002,PRD008,154,2026-08-29
STR002,PRD009,109,2026-08-29
STR002,PRD010,194,2026-08-29
STR002,PRD011,83,2026-08-29
STR002,PRD012,97,2026-08-29
STR002,PRD013,147,2026-08-29
STR002,PRD014,122,2026-08-29
STR002,PRD015,190,2026-08-29
STR002,PRD016,115,2026-08-29
STR002,PRD017,86,2026-08-29
STR002,PRD018,134,2026-08-29
STR002,PRD019,199,2026-08-29
STR002,PRD020,93,2026-08-29
STR002,PRD021,211,2026-08-29
STR002,PRD022,197,2026-08-29
STR002,PRD023,218,2026-08-29
STR002,PRD024,123,2026-08-29
STR002,PRD025,107,2026-08-29
STR002,PRD026,102,2026-08-29
STR002,PRD027,185,2026-08-29
STR002,PRD028,94,2026-08-29
STR002,PRD029,120,2026-08-29
STR002,PRD030,87,2026-08-29
STR002,PRD031,146,2026-08-29
STR002,PRD032,104,2026-08-29
STR002,PRD033,180,2026-08-29
STR002,PRD034,101,2026-08-29
STR002,PRD035,140,2026-08-29
STR002,PRD036,174,2026-08-29
STR002,PRD037,211,2026-08-29
STR002,PRD038,209,2026-08-29
STR002,PRD039,194,2026-08-29
STR002,PRD040,117,2026-08-29
STR002,PRD041,108,2026-08-29
STR002,PRD042,101,2026-08-29
STR002,PRD043,50,2026-08-29
STR002,PRD044,85,2026-08-29
STR002,PRD045,217,2026-08-29
STR002,PRD046,208,2026-08-29
STR002,PRD047,154,2026-08-29
STR002,PRD048,30,2026-08-29
STR002,PRD049,87,2026-08-29
STR002,PRD050,98,2026-08-29
STR002,PRD051,219,2026-08-29
STR002,PRD052,75,2026-08-29
STR002,PRD053,146,2026-08-29
STR002,PRD054,157,2026-08-29
STR002,PRD055,216,2026-08-29
STR003,PRD001,115,2026-08-29
STR003,PRD002,121,2026-08-29
STR003,PRD003,110,2026-08-29
STR003,PRD004,195,2026-08-29
STR003,PRD005,171,2026-08-29
STR003,PRD006,213,2026-08-29
STR003,PRD007,211,2026-08-29
STR003,PRD008,139,2026-08-29
STR003,PRD009,192,2026-08-29
STR003,PRD010,209,2026-08-29
STR003,PRD011,175,2026-08-29
STR003,PRD012,32,2026-08-29
STR003,PRD013,82,2026-08-29
STR003,PRD014,218,2026-08-29
STR003,PRD015,124,2026-08-29
STR003,PRD016,95,2026-08-29
STR003,PRD017,86,2026-08-29
STR003,PRD018,146,2026-08-29
STR003,PRD019,218,2026-08-29
STR003,PRD020,91,2026-08-29
STR003,PRD021,187,2026-08-29
STR003,PRD022,201,2026-08-29
STR003,PRD023,110,2026-08-29
STR003,PRD024,201,2026-08-29
STR003,PRD025,103,2026-08-29
STR003,PRD026,126,2026-08-29
STR003,PRD027,128,2026-08-29
STR003,PRD028,177,2026-08-29
STR003,PRD029,101,2026-08-29
STR003,PRD030,156,2026-08-29
STR003,PRD031,18,2026-08-29
STR003,PRD032,103,2026-08-29
STR003,PRD033,101,2026-08-29
STR003,PRD034,120,2026-08-29
STR003,PRD035,40,2026-08-29
STR003,PRD036,207,2026-08-29
STR003,PRD037,149,2026-08-29
STR003,PRD038,122,2026-08-29
STR003,PRD039,188,2026-08-29
STR003,PRD040,209,2026-08-29
STR003,PRD041,118,2026-08-29
STR003,PRD042,198,2026-08-29
STR003,PRD043,180,2026-08-29
STR003,PRD044,202,2026-08-29
STR003,PRD045,92,2026-08-29
STR003,PRD046,148,2026-08-29
STR003,PRD047,91,2026-08-29
STR003,PRD048,170,2026-08-29
STR003,PRD049,138,2026-08-29
STR003,PRD050,110,2026-08-29
STR003,PRD051,146,2026-08-29
STR003,PRD052,102,2026-08-29
STR003,PRD053,188,2026-08-29
STR003,PRD054,108,2026-08-29
STR003,PRD055,85,2026-08-29
STR004,PRD001,189,2026-08-29
STR004,PRD002,91,2026-08-29
STR004,PRD003,206,2026-08-29
STR004,PRD004,143,2026-08-29
STR004,PRD005,125,2026-08-29
STR004,PRD006,204,2026-08-29
STR004,PRD007,152,2026-08-29
STR004,PRD008,137,2026-08-29
STR004,PRD009,165,2026-08-29
STR004,PRD010,176,2026-08-29
STR004,PRD011,170,2026-08-29
STR004,PRD012,107,2026-08-29
STR004,PRD013,197,2026-08-29
STR004,PRD014,181,2026-08-29
STR004,PRD015,126,2026-08-29
STR004,PRD016,154,2026-08-29
STR004,PRD017,91,2026-08-29
STR004,PRD018,187,2026-08-29
STR004,PRD019,60,2026-08-29
STR004,PRD020,176,2026-08-29
